cve_id,priority,epss,cvss,cvss_version,cvss_severity,kev,kev_source,cpe,vendor,product,vector,descriptions,product_l,epss_l,percentile,priority_l,cweId,_merge,year
CVE-2021-21447,Priority 4,0.00054,5.4,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:businessobjects_business_intelligence:410:*:*:*:*:*:*:*,sap,businessobjects_business_intelligence,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,"SAP BusinessObjects Business Intelligence platform, versions 410, 420, allows an authenticated attacker to inject malicious JavaScript payload into the custom value input field of an Input Control, which can be executed by User who views the relevant application content, which leads to Stored Cross-Site Scripting.",SAP BusinessObjects Business Intelligence platform (Web Intelligence HTML interface),0.000540000,0.234870000,D,Cross Site Scripting,both,2021
CVE-2021-21465,Priority 2,0.01703,9.9,CVSS 3.1,CRITICAL,,VULNCHECK,cpe:2.3:a:sap:business_warehouse:710:*:*:*:*:*:*:*,sap,business_warehouse,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,"The BW Database Interface allows an attacker with low privileges to execute any crafted database queries, exposing the backend database. An attacker can include their own SQL commands which the database will execute without properly sanitizing the untrusted data leading to SQL injection vulnerability which can fully compromise the affected SAP system.",SAP Business Warehouse,0.017030000,0.880580000,D,SQL Injection,both,2021
CVE-2021-21468,Priority 2,0.00694,6.5,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:business_warehouse:710:*:*:*:*:*:*:*,sap,business_warehouse,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"The BW Database Interface does not perform necessary authorization checks for an authenticated user, resulting in escalation of privileges that allows the user to practically read out any database table.",SAP Business Warehouse,0.006940000,0.805620000,D,Missing Authorization check,both,2021
CVE-2021-21466,Priority 2,0.05169,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:business_warehouse:700:*:*:*:*:*:*:*,sap,business_warehouse,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"SAP Business Warehouse, versions 700, 701, 702, 711, 730, 731, 740, 750, 782 and SAP BW/4HANA, versions 100, 200, allow a low privileged attacker to inject code using a remote enabled function module over the network. Via the function module an attacker can create a malicious ABAP report which could be used to get access to sensitive data, to inject malicious UPDATE statements that could have also impact on the operating system, to disrupt the functionality of the SAP system which can thereby lead to a Denial of Service.",SAP Business Warehouse,0.051690000,0.931480000,D,Code Injection,both,2021
CVE-2020-26838,Priority 2,0.00116,9.1,CVSS 3.1,CRITICAL,,VULNCHECK,cpe:2.3:a:sap:business_warehouse:700:*:*:*:*:*:*:*,sap,business_warehouse,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,"SAP Business Warehouse, versions - 700, 701, 702, 731, 740, 750, 751, 752, 753, 754, 755, 782, and SAP BW4HANA, versions - 100, 200 allows an attacker authenticated with (high) developer privileges to submit a crafted request to generate and execute code without requiring any user interaction. It is possible to craft a request which will result in the execution of Operating System commands leading to Code Injection vulnerability which could completely compromise the confidentiality, integrity and availability of the server and any data or other applications running on it.",SAP Business Warehouse,0.001160000,0.460760000,D,Code Injection,both,2021
CVE-2020-26820,Priority 2,0.00523,7.2,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_java:7.20:*:*:*:*:*:*:*,sap,netweaver_application_server_java,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"SAP NetWeaver AS JAVA, versions - 7.20, 7.30, 7.31, 7.40, 7.50, allows an attacker who is authenticated as an administrator to use the administrator console, to expose unauthenticated access to the file system and upload a malicious file. The attacker or another user can then use a separate mechanism to execute OS commands through the uploaded file leading to Privilege Escalation and completely compromise the confidentiality, integrity and availability of the server operating system and any application running on it.",SAP NetWeaver AS JAVA,0.005230000,0.773190000,D,Privilege escalation,both,2021
CVE-2021-21446,Priority 2,0.00124,7.5,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_abap:740:*:*:*:*:*:*:*,sap,netweaver_application_server_abap,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"SAP NetWeaver AS ABAP, versions 740, 750, 751, 752, 753, 754, 755, allows an unauthenticated attacker to prevent legitimate users from accessing a service, either by crashing or flooding the service, this has a high impact on the availability of the service.",SAP NetWeaver AS ABAP,0.001240000,0.477550000,D,Denial of Service,both,2021
CVE-2020-6224,Priority 2,0.00065,6.2,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_java:7.10:*:*:*:*:*:*:*,sap,netweaver_application_server_java,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:N/A:N,"SAP NetWeaver AS Java (HTTP Service), versions 7.10, 7.11, 7.20, 7.30, 7.31, 7.40, 7.50, allows an attacker with administrator privileges to access user sensitive data such as passwords in trace files, when the user logs in and sends request with login credentials, leading to Information Disclosure.",SAP NetWeaver AS Java (HTTP Service),0.000650000,0.291420000,D,Information Disclosure,both,2021
CVE-2020-6307,Priority 4,0.00054,4.3,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:basis:7.0:*:*:*:*:*:*:*,sap,basis,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"Automated Note Search Tool (update provided in SAP Basis 7.0, 7.01, 7.02, 7.31, 7.4, 7.5, 7.51, 7.52, 7.53 and 7.54) does not perform sufficient authorization checks leading to the reading of sensitive information.",Automated Note Search Tool (SAP Basis),0.000540000,0.234870000,D,Missing Authorization Check,both,2021
CVE-2021-21453,Priority 2,0.00423,8.8,CVSS 3.1,HIGH,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated RLE file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.004460000,0.754570000,D,Improper Input Validation,both,2021
CVE-2021-21445,Priority 4,0.00054,5.4,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:commerce_cloud:1808:*:*:*:*:*:*:*,sap,commerce_cloud,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,"SAP Commerce Cloud, versions - 1808, 1811, 1905, 2005, 2011, allows an authenticated attacker to include invalidated data in the HTTP response Content Type header, due to improper input validation, and sent to a Web user. A successful exploitation of this vulnerability may lead to advanced attacks, including cross-site scripting and page hijacking.",SAP Commerce Cloud,0.000540000,0.234870000,D,Header Manipulation,both,2021
CVE-2020-6256,Priority 4,0.00054,4.3,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:master_data_governance:748:*:*:*:*:*:*:*,sap,master_data_governance,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"SAP Master Data Governance, versions - 748, 749, 750, 751, 752, 800, 801, 802, 803, 804, allows users to display change request details without having required authorizations, due to Missing Authorization Check.",SAP Master Data Governance,0.000540000,0.234870000,D,Missing Authorization Check,both,2021
CVE-2020-26816,Priority 4,0.00044,4.5,CVSS 3.1,MEDIUM,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_java:7.10:*:*:*:*:*:*:*,sap,netweaver_application_server_java,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,"SAP AS JAVA (Key Storage Service), versions - 7.10, 7.11, 7.20 ,7.30, 7.31, 7.40, 7.50, has the key material which is stored in the SAP NetWeaver AS Java Key Storage service stored in the database in the DER encoded format and is not encrypted. This enables an attacker who has administrator access to the SAP NetWeaver AS Java to decode the keys because of missing encryption and get some application data and client credentials of adjacent systems. This highly impacts Confidentiality as information disclosed could contain client credentials of adjacent systems.",SAP NetWeaver AS JAVA (Key Storage Service),0.000440000,0.132380000,D,Missing Encryption,both,2021
