cve_id,datePublished,dateUpdated,descriptions,product_l,epss_l,percentile,priority_l,cweId,note_id,Note#,Title,Priority,CVSS,priority,epss,cvss,cvss_version,cvss_severity,kev,ransomware,kev_source,cpe,vendor,product,vector,sap_note_year
CVE-2025-42944,2025-09-09T02:11:39.754Z,2025-09-10T03:55:57.710Z,"Due to a deserialization vulnerability in SAP NetWeaver, an unauthenticated attacker could exploit the system through the RMI-P4 module by submitting malicious payload to an open port. The deserialization of such untrusted Java objects could lead to arbitrary OS command execution, posing a high impact to the application's confidentiality, integrity, and availability.",SAP Netweaver (RMI-P4),0.000370000,0.098980000,A+,CWE-502,['3634501'],3634501,[ CVE-2025-42944 ] Insecure Deserialization vulnerability in SAP Netweaver (RMI-P4) Product - SAP Netweaver (RMI-P4) Version - SERVERCORE 7.50,Critical,10.0,Priority 2,0.00037,10.0,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,2025
CVE-2025-42922,2025-09-09T02:09:38.727Z,2025-09-10T03:55:58.525Z,"SAP NetWeaver AS Java allows an attacker authenticated as a non-administrative user to use a flaw in an available service to upload an arbitrary file. This file when executed can lead to a full compromise of confidentiality, integrity and availability of the system.",SAP NetWeaver AS Java (Deploy Web Service),0.000530000,0.163640000,B,CWE-94,['3643865'],3643865,[ CVE-2025-42922 ] Insecure File Operations vulnerability in SAP NetWeaver AS Java (Deploy Web Service) Product - SAP NetWeaver AS Java (Deploy Web Service) Version - J2EE-APPS 7.50,Critical,9.9,Priority 2,0.00053,9.9,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2025
CVE-2023-27500,2023-03-14T05:05:20.861Z,2024-08-02T12:16:35.333Z,"An attacker with non-administrative authorizations can exploit a directory traversal flaw in program SAPRSBRO to over-write system files. In this attack, no data can be read but potentially critical OS files can be over-written making the system unavailable.

",NetWeaver AS for ABAP and ABAP Platform (SAPRSBRO Program),0.004170000,0.609560000,B,CWE-22,['3302162'],3302162,"Update to Security Note released on March 2023 Patch Day: [ CVE-2023-27500 ] Directory Traversal vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform Product – SAP NetWeaver AS for ABAP and ABAP Platform Version – 700, 701, 702, 731, 740, 750, 751, 752, 753, 754, 755, 756, 757",Critical,9.6,Priority 2,0.00417,9.6,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_abap:700:*:*:*:*:*:*:*,sap,netweaver_application_server_abap,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:H/A:H,2025
CVE-2025-42958,2025-09-09T02:11:46.733Z,2025-09-10T03:55:59.300Z,"Due to a missing authentication check in the SAP NetWeaver application on IBM i-series, the application allows high privileged unauthorized users to read, modify, or delete sensitive information, as well as access administrative or privileged functionalities. This results in a high impact on the confidentiality, integrity, and availability of the application.",SAP NetWeaver,0.000690000,0.215450000,B,CWE-250,['3627373'],3627373,"[ CVE-2025-42958 ] Missing Authentication check in SAP NetWeaver Product - SAP NetWeaver Version - KRNL64NUC 7.22, 7.22EXT, KRNL64UC 7.22, 7.22EXT, 7.53, KERNEL 7.22, 7.53, 7.54",Critical,9.1,Priority 2,0.00069,9.1,CVSS V31,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,2025
CVE-2025-42933,2025-09-09T02:11:26.232Z,2025-09-10T03:56:03.771Z,"When a user logs in via SAP Business One native client, the SLD backend service fails to enforce proper encryption of certain APIs. This leads to exposure of sensitive credentials within http response body. As a result, it has a high impact on the confidentiality, integrity, and availability of the application.",SAP Business One (SLD),0.000260000,0.054160000,B,CWE-522,['3642961'],3642961,"[ CVE-2025-42933 ] Insecure Storage of Sensitive Information in SAP Business One (SLD) Product - SAP Business One (SLD) Version - B1_ON_HANA 10.0, SAP-M-BO 10.0",High,8.8,Priority 2,0.00026,8.8,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2025
CVE-2025-42929,2025-09-09T02:10:59.447Z,2025-09-09T13:56:41.986Z,"Due to missing input validation, an attacker with high privilege access to ABAP reports could delete the content of arbitrary database tables, if the tables are not protected by an authorization group. This leads to a high impact on integrity and availability of the database.",SAP Landscape Transformation Replication Server,0.000300000,0.070350000,B,CWE-1287,['3633002'],3633002,"[ CVE-2025-42929 ] Missing input validation vulnerability in SAP Landscape Transformation Replication Server Product - SAP Landscape Transformation Replication Server Version - DMIS 2011_1_620, 2011_1_640, 2011_1_700, 2011_1_710, 2011_1_730, 2011_1_731, 2011_1_752, 2020",High,8.1,Priority 2,0.0003,8.1,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:C/C:N/I:H/A:H,2025
CVE-2025-42916,2025-09-09T02:07:53.085Z,2025-09-09T13:47:28.351Z,"Due to missing input validation, an attacker with high privilege access to ABAP reports could delete the content of arbitrary database tables, if the tables are not protected by an authorization group. This leads to a high impact on integrity and availability of the database but no impact on confidentiality.",SAP S/4HANA (Private Cloud or On-Premise),0.000300000,0.070350000,B,CWE-1287,['3635475'],3635475,"[ CVE-2025-42916 ] Missing input validation vulnerability in SAP S/4HANA (Private Cloud or On-Premise) Product - SAP S/4HANA (Private Cloud or On-Premise) Version - S4CORE 102, 103, 104, 105, 106, 107, 108",High,8.1,Priority 2,0.0003,8.1,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:C/C:N/I:H/A:H,2025
CVE-2025-27428,2025-04-08T07:13:27.056Z,2025-04-08T14:50:32.851Z,"Due to directory traversal vulnerability, an authorized attacker could gain access to some critical information by using RFC enabled function module. Upon successful exploitation, they could read files from any managed system connected to SAP Solution Manager, leading to high impact on confidentiality. There is no impact on integrity or availability.",SAP NetWeaver and ABAP Platform (Service Data Collection),0.001480000,0.359150000,B,CWE-862,['3581811'],3581811,"Update to Security Note released on April 2025 Patch Day: [ CVE-2025-27428 ] Directory Traversal vulnerability in SAP NetWeaver and ABAP Platform (Service Data Collection) Product - SAP NetWeaver and ABAP Platform (Service Data Collection) Version - ST-PI 2008_1_700, 2008_1_710, 740",High,7.7,Priority 2,0.00148,7.7,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,2025
CVE-2025-22228,2025-03-20T05:49:19.275Z,2025-04-25T23:03:00.421Z,"BCryptPasswordEncoder.matches(CharSequence,String) will incorrectly return true for passwords larger than 72 characters as long as the first 72 characters are the same.",Spring Security,0.000570000,0.177110000,B,,[],3620264,"[ CVE-2025-22228 ] Security Misconfiguration vulnerability in Spring security within SAP Commerce Cloud and SAP Datahub Product - SAP Commerce Cloud and SAP Datahub Version - HY_COM 2205, HY_DHUB 2205, COM_CLOUD 2211, DHUB_CLOUD 2211",Medium,6.6,Priority 2,0.00057,7.4,CVSS V31,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,2025
CVE-2025-42930,2025-09-09T02:11:18.387Z,2025-09-09T13:32:49.181Z,"SAP Business Planning and Consolidation allows an authenticated standard user to call a function module by crafting specific parameters that causes a loop, consuming excessive resources and resulting in system unavailability. This leads to high impact on the availability of the application, there is no impact on confidentiality or integrity.",SAP Business Planning and Consolidation,0.000660000,0.206520000,B,CWE-606,['3614067'],3614067,"[ CVE-2025-42930 ] Denial of Service (DoS) vulnerability in SAP Business Planning and Consolidation Product - SAP Business Planning and Consolidation Version - BPC4HANA 200, 300, SAP_BW 750, 751, 752, 753, 754, 755, 756, 757, 758, 816, 914, CPMBPC 810",Medium,6.5,Priority 2,0.00066,6.5,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,2025
CVE-2025-42912,2025-09-09T02:06:08.163Z,2025-09-10T03:56:05.838Z,"SAP HCM My Timesheet Fiori 2.0 application does not perform necessary authorization checks for an authenticated user, resulting in escalation of privileges. This issue has a significant impact on the application's integrity, while confidentiality and availability remain unaffected.",SAP HCM (My Timesheet Fiori 2.0 application),0.000290000,0.068090000,B,CWE-862,['3635587'],3635587,"[ CVE-2025-42912 ] Missing Authorization check in SAP HCM (My Timesheet Fiori 2.0 application) Additional CVEs - CVE-2025-42913 , CVE-2025-42914 Product - SAP HCM (My Timesheet Fiori 2.0 application) Version - GBX01HR5 605",Medium,6.5,Priority 2,0.00029,6.5,CVSS V31,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,2025
