cve_id,datePublished,dateUpdated,descriptions,product_l,epss_l,percentile,priority_l,cweId,note_id,Note#,Title,Priority,CVSS,priority,epss,cvss,cvss_version,cvss_severity,kev,ransomware,kev_source,cpe,vendor,product,vector,sap_note_year
CVE-2025-0070,2025-01-14T00:10:03.199Z,2025-01-14T15:02:47.651Z,"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an authenticated attacker to obtain illegitimate access to the system by exploiting improper authentication checks, resulting in privilege escalation. On successful exploitation, this can result in potential security concerns. This results in a high impact on confidentiality, integrity, and availability.",SAP NetWeaver Application Server for ABAP and ABAP Platform,0.00043,0.11433,B,CWE-287,['3537476'],CVE-2025-0070,"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an authenticated attacker to obtain illegitimate access to the system by exploiting improper authentication checks, resulting in privilege escalation. On successful exploitation, this can result in potential security concerns. This results in a high impact on confidentiality, integrity, and availability.",Hot News,9.9,Priority 2,0.00043,9.9,CVSS 3.1,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2025
CVE-2025-0068,2025-01-14T00:09:52.994Z,2025-01-14T15:03:46.979Z,"An obsolete functionality in SAP NetWeaver Application Server ABAP did not perform necessary authorization checks. Because of this, an authenticated attacker could obtain information that would otherwise be restricted. It has no impact on integrity or availability on the application.",SAP NetWeaver Application Server ABAP,0.00043,0.11433,D,CWE-862,['3550674'],CVE-2025-0068,"An obsolete functionality in SAP NetWeaver Application Server ABAP did not perform necessary authorization checks. Because of this, an authenticated attacker could obtain information that would otherwise be restricted. It has no impact on integrity or availability on the application.",Medium,4.3,Priority 4,0.00043,4.3,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,2025
CVE-2025-0067,2025-01-14T00:09:41.421Z,2025-01-14T15:04:14.047Z,"Due to a missing authorization check on service endpoints in the SAP NetWeaver Application Server Java, an attacker with standard user role can create JCo connection entries, which are used for remote function calls from or to the application server. This could lead to low impact on confidentiality, integrity, and availability of the application.",SAP NetWeaver Application Server Java,0.00043,0.11433,B,CWE-862,['3540108'],CVE-2025-0067,"Due to a missing authorization check on service endpoints in the SAP NetWeaver Application Server Java, an attacker with standard user role can create JCo connection entries, which are used for remote function calls from or to the application server. This could lead to low impact on confidentiality, integrity, and availability of the application.",Medium,6.3,Priority 2,0.00043,6.3,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,2025
CVE-2025-0066,2025-01-14T00:09:36.035Z,2025-01-14T14:50:46.306Z,"Under certain conditions SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework) allows an attacker to access restricted information due to weak access controls. This can have a significant impact on the confidentiality, integrity, and availability of an application",SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework),0.00043,0.11433,B,CWE-732,['3550708'],CVE-2025-0066,"Under certain conditions SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework) allows an attacker to access restricted information due to weak access controls. This can have a significant impact on the confidentiality, integrity, and availability of an application",Hot News,9.9,Priority 2,0.00043,9.9,CVSS 3.1,CRITICAL,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,2025
CVE-2025-0063,2025-01-14T00:09:28.885Z,2025-01-14T14:51:11.362Z,"SAP NetWeaver AS ABAP and ABAP Platform does not check for authorization when a user executes some RFC function modules. This could lead to an attacker with basic user privileges to gain control over the data in Informix database, leading to complete compromise of confidentiality, integrity and availability.",SAP NetWeaver AS ABAP and ABAP Platform,0.00043,0.11433,B,CWE-89,['3550816'],CVE-2025-0063,"SAP NetWeaver AS ABAP and ABAP Platform does not check for authorization when a user executes some RFC function modules. This could lead to an attacker with basic user privileges to gain control over the data in Informix database, leading to complete compromise of confidentiality, integrity and availability.",High,8.8,Priority 2,0.00043,8.8,CVSS 3.1,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2025
CVE-2025-0061,2025-01-14T00:09:21.343Z,2025-01-14T14:58:33.186Z,"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application.",SAP BusinessObjects Business Intelligence Platform,0.00043,0.11433,B,CWE-497,['3474398'],CVE-2025-0061,"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application.",High,8.7,Priority 2,0.00043,8.7,CVSS 3.1,HIGH,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,2025
CVE-2025-0060,2025-01-14T00:09:14.051Z,2025-01-14T14:59:23.756Z,SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.,SAP BusinessObjects Business Intelligence Platform,0.00043,0.11433,B,CWE-94,['3474398'],CVE-2025-0060,SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.,Medium,6.5,Priority 2,0.00043,6.5,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N,2025
CVE-2025-0059,2025-01-14T00:09:07.029Z,2025-01-14T14:59:54.719Z,"Applications based on SAP GUI for HTML in SAP NetWeaver Application Server ABAP store user input in the local browser storage to improve usability. An attacker with administrative privileges or access to the victim�s user directory on the Operating System level would be able to read this data. Depending on the user input provided in transactions, the disclosed data could range from non-critical data to highly sensitive data, causing high impact on confidentiality of the application.",SAP NetWeaver Application Server ABAP (applications based on SAP GUI for HTML),0.00043,0.11433,B,CWE-497,['3503138'],CVE-2025-0059,"Applications based on SAP GUI for HTML in SAP NetWeaver Application Server ABAP store user input in the local browser storage to improve usability. An attacker with administrative privileges or access to the victim&#65533;s user directory on the Operating System level would be able to read this data. Depending on the user input provided in transactions, the disclosed data could range from non-critical data to highly sensitive data, causing high impact on confidentiality of the application.",Medium,6.0,Priority 2,0.00043,6.0,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,2025
CVE-2025-0058,2025-01-14T00:08:59.323Z,2025-01-14T15:00:38.824Z,"In SAP Business Workflow and SAP Flexible Workflow, an authenticated attacker can manipulate a parameter in an otherwise legitimate resource request to view sensitive information that should otherwise be restricted. The attacker does not have the ability to modify the information or to make the information unavailable.",SAP Business Workflow and SAP Flexible Workflow,0.00043,0.11433,B,CWE-639,['3542698'],CVE-2025-0058,"In SAP Business Workflow and SAP Flexible Workflow, an authenticated attacker can manipulate a parameter in an otherwise legitimate resource request to view sensitive information that should otherwise be restricted. The attacker does not have the ability to modify the information or to make the information unavailable.",Medium,6.5,Priority 2,0.00043,6.5,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,2025
CVE-2025-0057,2025-01-14T00:08:50.916Z,2025-01-14T15:01:00.987Z,"SAP NetWeaver AS JAVA (User Admin Application) is vulnerable to stored cross site scripting vulnerability. An attacker posing as an admin can upload a photo with malicious JS content. When a victim visits the vulnerable component, the attacker can read and modify information within the scope of victim's web browser.",SAP NetWeaver AS JAVA (User Admin Application),0.00043,0.11433,D,CWE-434,['3514421'],CVE-2025-0057,"SAP NetWeaver AS JAVA (User Admin Application) is vulnerable to stored cross site scripting vulnerability. An attacker posing as an admin can upload a photo with malicious JS content. When a victim visits the vulnerable component, the attacker can read and modify information within the scope of victim's web browser.",Medium,4.8,Priority 4,0.00043,4.8,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:::::::::::,,,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N,2025
