cve_id,datePublished,dateUpdated,descriptions,product_l,epss_l,percentile,priority_l,cweId,note_id,Note#,Title,Priority,CVSS,priority,epss,cvss,cvss_version,cvss_severity,kev,ransomware,kev_source,cpe,vendor,product,vector,sap_note_year
CVE-2021-21446,2021-01-12T14:40:18,2024-08-03T18:16:22.448Z,"SAP NetWeaver AS ABAP, versions 740, 750, 751, 752, 753, 754, 755, allows an unauthenticated attacker to prevent legitimate users from accessing a service, either by crashing or flooding the service, this has a high impact on the availability of the service.",SAP NetWeaver AS ABAP,0.001240000,0.476980000,D,CWE-400,[],3000306,"[CVE-2021-21446] Denial of service (DOS) in SAP NetWeaver AS ABAP and ABAP Platform Product - SAP NetWeaver AS ABAP, Versions - 740, 750, 751, 752, 753, 754, 755",High,7.5,Priority 2,0.00124,7.5,CVSS 3.1,HIGH,,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_abap:740:*:*:*:*:*:*:*,sap,netweaver_application_server_abap,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021
CVE-2021-21446,2021-01-12T14:40:18,2024-08-03T18:16:22.448Z,"SAP NetWeaver AS ABAP, versions 740, 750, 751, 752, 753, 754, 755, allows an unauthenticated attacker to prevent legitimate users from accessing a service, either by crashing or flooding the service, this has a high impact on the availability of the service.",SAP NetWeaver AS ABAP,0.001240000,0.476980000,D,CWE-400,[],3000306,"Update to security note released on January 2021 Patch Day: [CVE-2021-21446] Denial of service (DOS) in SAP NetWeaver AS ABAP and ABAP Platform Product - SAP NetWeaver AS ABAP, Versions - 740, 750, 751, 752, 753, 754, 755",High,7.5,Priority 2,0.00124,7.5,CVSS 3.1,HIGH,,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_abap:740:*:*:*:*:*:*:*,sap,netweaver_application_server_abap,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2021
CVE-2020-6307,2020-01-14T17:52:59,2024-08-04T08:55:22.405Z,"Automated Note Search Tool (update provided in SAP Basis 7.0, 7.01, 7.02, 7.31, 7.4, 7.5, 7.51, 7.52, 7.53 and 7.54) does not perform sufficient authorization checks leading to the reading of sensitive information.",Automated Note Search Tool (SAP Basis),0.000540000,0.235560000,D,CWE-862,['3367177'],2863397,"Update to security note released on January 2020 Patch Day: [CVE-2020-6307] Missing Authorization Check in Automated Note Search Tool (SAP_BASIS) Product - Automated Note Search Tool (SAP Basis), Versions - 7.0, 7.01,7.02, 7.31, 7.4, 7.5, 7.51, 7.52, 7.53 and 7.54",Medium,6.5,Priority 4,0.00054,4.3,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:basis:7.0:*:*:*:*:*:*:*,sap,basis,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,2021
CVE-2020-6224,2020-04-14T18:31:46,2024-08-04T08:55:22.154Z,"SAP NetWeaver AS Java (HTTP Service), versions 7.10, 7.11, 7.20, 7.30, 7.31, 7.40, 7.50, allows an attacker with administrator privileges to access user sensitive data such as passwords in trace files, when the user logs in and sends request with login credentials, leading to Information Disclosure.",SAP NetWeaver AS Java (HTTP Service),0.000650000,0.292160000,D,CWE-532,[],2826528,"Update to security note released on April 2020 Patch Day: [CVE-2020-6224] Information Disclosure in SAP NetWeaver Application Server Java (HTTP Service) Product - SAP NetWeaver AS Java (HTTP Service), Versions - 7.10, 7.11, 7.20, 7.30, 7.31, 7.40, 7.50",Medium,6.2,Priority 2,0.00065,6.2,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_java:7.10:*:*:*:*:*:*:*,sap,netweaver_application_server_java,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:N/A:N,2021
CVE-2021-21445,2021-01-12T14:42:03,2024-08-03T18:16:22.329Z,"SAP Commerce Cloud, versions - 1808, 1811, 1905, 2005, 2011, allows an authenticated attacker to include invalidated data in the HTTP response Content Type header, due to improper input validation, and sent to a Web user. A successful exploitation of this vulnerability may lead to advanced attacks, including cross-site scripting and page hijacking.",SAP Commerce Cloud,0.000540000,0.235560000,D,CWE-444,[],2984034,"[CVE-2021-21445] Header Manipulation vulnerability in SAP Commerce Cloud Product - SAP Commerce Cloud, Versions - 1808, 1811, 1905, 2005, 2011",Medium,5.4,Priority 4,0.00054,5.4,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:commerce_cloud:1808:*:*:*:*:*:*:*,sap,commerce_cloud,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,2021
CVE-2021-21447,2021-01-12T14:40:43,2024-08-03T18:16:22.247Z,"SAP BusinessObjects Business Intelligence platform, versions 410, 420, allows an authenticated attacker to inject malicious JavaScript payload into the custom value input field of an Input Control, which can be executed by User who views the relevant application content, which leads to Stored Cross-Site Scripting.",SAP BusinessObjects Business Intelligence platform (Web Intelligence HTML interface),0.000540000,0.235560000,D,CWE-79,[],2965154,"[CVE-2021-21447] Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence HTML interface) Product - SAP BusinessObjects Business Intelligence platform (Web Intelligence HTML interface), Versions - 410, 420",Medium,5.4,Priority 4,0.00054,5.4,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:businessobjects_business_intelligence:410:*:*:*:*:*:*:*,sap,businessobjects_business_intelligence,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,2021
CVE-2020-6256,2020-05-12T17:51:22,2024-08-04T08:55:22.211Z,"SAP Master Data Governance, versions - 748, 749, 750, 751, 752, 800, 801, 802, 803, 804, allows users to display change request details without having required authorizations, due to Missing Authorization Check.",SAP Master Data Governance,0.000540000,0.235560000,D,CWE-862,[],2912747,"Update to security note released on May 2020 Patch Day: [CVE-2020-6256] Missing Authorization check in SAP Master Data Governance Product - SAP Master Data Governance, Versions - 748, 749, 750, 751, 752, 800, 801, 802, 803, 804",Medium,5.4,Priority 4,0.00054,4.3,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:master_data_governance:748:*:*:*:*:*:*:*,sap,master_data_governance,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,2021
CVE-2020-26816,2020-12-09T16:28:11,2024-08-04T16:03:22.694Z,"SAP AS JAVA (Key Storage Service), versions - 7.10, 7.11, 7.20 ,7.30, 7.31, 7.40, 7.50, has the key material which is stored in the SAP NetWeaver AS Java Key Storage service stored in the database in the DER encoded format and is not encrypted. This enables an attacker who has administrator access to the SAP NetWeaver AS Java to decode the keys because of missing encryption and get some application data and client credentials of adjacent systems. This highly impacts Confidentiality as information disclosed could contain client credentials of adjacent systems.",SAP NetWeaver AS JAVA (Key Storage Service),0.000440000,0.133290000,D,CWE-312,['2971163'],2971163,"Update to security note released on December 2020 Patch Day: [CVE-2020-26816] Missing Encryption in SAP NetWeaver AS Java (Key Storage Service) Product - SAP NetWeaver AS JAVA (Key Storage Service), Versions - 7.10, 7.11, 7.20 ,7.30, 7.31, 7.40, 7.50",Medium,5.4,Priority 4,0.00044,4.5,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:netweaver_application_server_java:7.10:*:*:*:*:*:*:*,sap,netweaver_application_server_java,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,2021
CVE-2021-21448,2021-01-12T14:40:29,2024-08-03T18:16:22.425Z,"SAP GUI for Windows, version - 7.60, allows an attacker to spoof logon credentials for Application Server ABAP backend systems in the client PCs memory. Under certain conditions the attacker can access information which would otherwise be restricted. The exploit can only be executed locally on the client PC and not via Network and the attacker needs at least user authorization of the Operating System user of the victim.",SAP GUI FOR WINDOWS,0.000440000,0.133290000,D,Information Disclosure,[],2992269,"[CVE-2021-21448] Information Disclosure in SAP GUI for Windows Product - SAP GUI FOR WINDOWS, Version - 7.60",Medium,5.3,Priority 2,0.00044,6.5,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:graphical_user_interface:7.60:*:*:*:*:windows:*:*,sap,graphical_user_interface,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,2021
CVE-2021-21469,2021-01-12T14:44:32,2024-08-03T18:16:22.563Z,"When security guidelines for SAP NetWeaver Master Data Management running on windows have not been thoroughly reviewed, it might be possible for an external operator to try and set custom paths in the MDS server configuration. When no adequate protection has been enforced on any level (e.g., MDS Server password not set, network and OS configuration not properly secured, etc.), a malicious user might define UNC paths which could then be exploited to put the system at risk using a so-called SMB relay attack and obtain highly sensitive data, which leads to Information Disclosure.",SAP NetWeaver Master Data Management,0.001780000,0.553770000,D,CWE-200,[],2993032,"[CVE-2021-21469] Information Disclosure in SAP NetWeaver Master Data Management Product - SAP NetWeaver Master Data Management, Versions - 7.10, 7.10.750, 710",Medium,5.3,Priority 2,0.00178,7.5,CVSS 3.1,HIGH,,,VULNCHECK,cpe:2.3:a:sap:netweaver_master_data_management:7.10:*:*:*:*:*:*:*,sap,netweaver_master_data_management,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2021
CVE-2021-21449,2021-01-12T14:40:09,2024-08-03T18:16:22.509Z,"SAP 3D Visual Enterprise Viewer, version - 9, allows a user to open manipulated IFF file received from untrusted sources which results in crashing of the application and becoming temporarily unavailable until the user restarts the application, this is caused due to Improper Input Validation.",SAP 3D Visual Enterprise Viewer,0.004230000,0.745790000,D,CWE-119,[],3002617,"[Multiple CVEs] Improper Input Validation in SAP 3D Visual Enterprise Viewer CVEs - CVE-2021-21449, CVE-2021-21457, CVE-2021- 21458, CVE-2021-21459, CVE-2021-21450, CVE-2021- 21451, CVE-2021-21452, CVE-2021-21453, CVE-2021- 21454, CVE-2021-21455, CVE-2021-21456, CVE-2021- 21460, CVE-2021-21461, CVE-2021-21462, CVE-2021- 21463, CVE-2021-21464 Product - SAP 3D Visual Enterprise Viewer, Version - 9.0",Medium,4.3,Priority 2,0.0039,8.8,CVSS 3.1,HIGH,,,VULNCHECK,cpe:2.3:a:sap:3d_visual_enterprise_viewer:9:*:*:*:*:*:*:*,sap,3d_visual_enterprise_viewer,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2021
CVE-2021-21467,2021-01-12T14:41:45,2024-08-03T18:16:22.518Z,"SAP Banking Services (Generic Market Data) does not perform necessary authorization checks for an authenticated user, resulting in escalation of privileges. An unauthorized User is allowed to display restricted Business Partner Generic Market Data (GMD), due to improper authorization check.",SAP Banking Services (Generic Market Data),0.000540000,0.235560000,D,CWE-862,[],3008422,"[CVE-2021-21467] Missing Authorization check in SAP Banking Services (Generic Market Data) Product - SAP Banking Services (Generic Market Data), Versions - 400, 450, 500",Medium,4.3,Priority 4,0.00054,4.3,CVSS 3.1,MEDIUM,,,VULNCHECK,cpe:2.3:a:sap:banking_services:-:*:*:*:*:*:*:*,sap,banking_services,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,2021
