CVSS,Note#,Priority,Title,cpe,cve_id,cvss,cvss_severity,cvss_version,cweId,datePublished,dateUpdated,descriptions,epss,epss_l,kev,kev_source,note_id,percentile,priority,priority_l,product,product_l,ransomware,sap_note_year,vector,vendor
7.2,CVE-2001-0366,High,"saposcol in SAP R/3 Web Application Server Demo before 1.5 trusts the PATH environmental variable to find and execute the expand program, which allows local users to obtain root access by modifying the PATH to point to a Trojan horse expand program.",cpe:2.3:a:sap:sap_r_3_web_application_server_demo:*:*:*:*:*:*:*:*,CVE-2001-0366,7.2,HIGH,CVSS 2.0,,2002-03-09T05:00:00,2025-12-20,"saposcol in SAP R/3 Web Application Server Demo before 1.5 trusts the PATH environmental variable to find and execute the expand program, which allows local users to obtain root access by modifying the PATH to point to a Trojan horse expand program.",0.00042,0.00042,,VULNCHECK,[],0.05056,Priority 2,D,sap_r_3_web_application_server_demo,,,2001,AV:L/AC:L/Au:N/C:C/I:C/A:C,sap
7.2,CVE-2002-1576,High,"lserver in SAP DB 7.3 and earlier uses the current working directory to find and execute the lserversrv program, which allows local users to gain privileges with a malicious lserversrv that is called from a directory that has a symlink to the lserver program.",cpe:2.3:a:sap:sap_db:7.3.00:*:*:*:*:*:*:*,CVE-2002-1576,7.2,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"lserver in SAP DB 7.3 and earlier uses the current working directory to find and execute the lserversrv program, which allows local users to gain privileges with a malicious lserversrv that is called from a directory that has a symlink to the lserver program.",0.00121,0.00121,,VULNCHECK,[],0.47389,Priority 2,D,sap_db,,,2002,AV:L/AC:L/Au:N/C:C/I:C/A:C,sap
7.5,CVE-2002-1577,High,"SAP R/3 2.0B to 4.6D installs several clients with default users and passwords, which allows remote attackers to gain privileges via the (1) SAP*, (2) SAPCPIC, (3) DDIC, (4) EARLYWATCH, or (5) TMSADM accounts.",cpe:2.3:a:sap:sap_r_3:2.0b_to_4.6d:*:*:*:*:*:*:*,CVE-2002-1577,7.5,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"SAP R/3 2.0B to 4.6D installs several clients with default users and passwords, which allows remote attackers to gain privileges via the (1) SAP*, (2) SAPCPIC, (3) DDIC, (4) EARLYWATCH, or (5) TMSADM accounts.",0.00875,0.00875,,VULNCHECK,[],0.82411,Priority 2,D,sap_r_3,,,2002,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
7.5,CVE-2002-1578,High,"The default installation of SAP R/3, when using Oracle and SQL*net V2 3.x, 4.x, and 6.10, allows remote attackers to obtain arbitrary, sensitive SAP data by directly connecting to the Oracle database and executing queries against the database, which is not password-protected.",cpe:2.3:a:sap:sap_r_3:*:*:*:*:*:*:*:*,CVE-2002-1578,7.5,HIGH,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"The default installation of SAP R/3, when using Oracle and SQL*net V2 3.x, 4.x, and 6.10, allows remote attackers to obtain arbitrary, sensitive SAP data by directly connecting to the Oracle database and executing queries against the database, which is not password-protected.",0.01865,0.01865,,VULNCHECK,[],0.88221,Priority 2,D,sap_r_3,,,2002,AV:N/AC:L/Au:N/C:P/I:P/A:P,sap
5.0,CVE-2002-1579,Medium,"SAP GUI (Sapgui) 4.6D allows remote attackers to cause a denial of service (crash) via a connection to a high-numbered port, which generates an ""unknown connection data"" error.",cpe:2.3:a:sap:sapgui:4.6:*:windows:*:*:*:*:*,CVE-2002-1579,5.0,MEDIUM,CVSS 2.0,,2004-03-16T05:00:00,2025-12-20,"SAP GUI (Sapgui) 4.6D allows remote attackers to cause a denial of service (crash) via a connection to a high-numbered port, which generates an ""unknown connection data"" error.",0.00891,0.00891,,VULNCHECK,[],0.82584,Priority 4,D,sapgui,,,2002,AV:N/AC:L/Au:N/C:N/I:N/A:P,sap
6.2,CVE-2003-0265,Medium,"Race condition in SDBINST for SAP database 7.3.0.29 creates critical files with world-writable permissions before initializing the setuid bits, which allows local attackers to gain root privileges by modifying the files before the permissions are changed.",cpe:2.3:a:sap:sap_db:7.3.29:*:*:*:*:*:*:*,CVE-2003-0265,6.2,MEDIUM,CVSS 2.0,,2003-05-08T04:00:00,2025-12-20,"Race condition in SDBINST for SAP database 7.3.0.29 creates critical files with world-writable permissions before initializing the setuid bits, which allows local attackers to gain root privileges by modifying the files before the permissions are changed.",0.00121,0.00121,,VULNCHECK,[],0.47389,Priority 2,D,sap_db,,,2003,AV:L/AC:H/Au:N/C:C/I:C/A:C,sap
5.0,CVE-2003-0747,Medium,"wgate.dll in SAP Internet Transaction Server (ITS) 4620.2.0.323011 allows remote attackers to obtain potentially sensitive information such as directory structure and operating system via incorrect parameters (1) ~service, (2) ~templatelanguage, (3) ~language, (4) ~theme, or (5) ~template, which leaks the information in the resulting error message.",cpe:2.3:a:sap:internet_transaction_server:4620.2.0.323011:*:*:*:*:*:*:*,CVE-2003-0747,5.0,MEDIUM,CVSS 2.0,,2003-09-06T04:00:00,2025-12-20,"wgate.dll in SAP Internet Transaction Server (ITS) 4620.2.0.323011 allows remote attackers to obtain potentially sensitive information such as directory structure and operating system via incorrect parameters (1) ~service, (2) ~templatelanguage, (3) ~language, (4) ~theme, or (5) ~template, which leaks the information in the resulting error message.",0.91585,0.91585,,VULNCHECK,[],0.99166,Priority 3,C,internet_transaction_server,,,2003,AV:N/AC:L/Au:N/C:P/I:N/A:N,sap
5.0,CVE-2003-0748,Medium,"Directory traversal vulnerability in wgate.dll for SAP Internet Transaction Server (ITS) 4620.2.0.323011 allows remote attackers to read arbitrary files via ..\ (dot-dot backslash) sequences in the ~theme parameter and a ~template parameter with a filename followed by space characters, which can prevent SAP from effectively adding a .html extension to the filename.",cpe:2.3:a:sap:internet_transaction_server:4620.2.0.323011:*:*:*:*:*:*:*,CVE-2003-0748,5.0,MEDIUM,CVSS 2.0,,2003-09-06T04:00:00,2025-12-20,"Directory traversal vulnerability in wgate.dll for SAP Internet Transaction Server (ITS) 4620.2.0.323011 allows remote attackers to read arbitrary files via ..\ (dot-dot backslash) sequences in the ~theme parameter and a ~template parameter with a filename followed by space characters, which can prevent SAP from effectively adding a .html extension to the filename.",0.89389,0.89389,,VULNCHECK,[],0.99028,Priority 3,C,internet_transaction_server,,,2003,AV:N/AC:L/Au:N/C:P/I:N/A:N,sap
6.8,CVE-2003-0749,Medium,Cross-site scripting (XSS) vulnerability in wgate.dll for SAP Internet Transaction Server (ITS) 4620.2.0.323011 allows remote attackers to insert arbitrary web script and steal cookies via the ~service parameter.,cpe:2.3:a:sap:internet_transaction_server:4620.2.0.323011:*:*:*:*:*:*:*,CVE-2003-0749,6.8,MEDIUM,CVSS 2.0,,2003-09-06T04:00:00,2025-12-20,Cross-site scripting (XSS) vulnerability in wgate.dll for SAP Internet Transaction Server (ITS) 4620.2.0.323011 allows remote attackers to insert arbitrary web script and steal cookies via the ~service parameter.,0.92684,0.92684,,VULNCHECK,[],0.99253,Priority 1,C,internet_transaction_server,,,2003,AV:N/AC:M/Au:N/C:P/I:P/A:P,sap
7.2,CVE-2003-0938,High,"vos24u.c in SAP database server (SAP DB) 7.4.03.27 and earlier allows local users to gain SYSTEM privileges via a malicious ""NETAPI32.DLL"" in the current working directory, which is found and loaded by SAP DB before the real DLL, as demonstrated using the SQLAT stored procedure.",cpe:2.3:a:sap:sap_db:*:*:*:*:*:*:*:*,CVE-2003-0938,7.2,HIGH,CVSS 2.0,,2003-11-21T05:00:00,2025-12-20,"vos24u.c in SAP database server (SAP DB) 7.4.03.27 and earlier allows local users to gain SYSTEM privileges via a malicious ""NETAPI32.DLL"" in the current working directory, which is found and loaded by SAP DB before the real DLL, as demonstrated using the SQLAT stored procedure.",0.00042,0.00042,,VULNCHECK,[],0.05056,Priority 2,D,sap_db,,,2003,AV:L/AC:L/Au:N/C:C/I:C/A:C,sap
